Name,Location,Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Mileage,Engine,Power,Seats,New_Price,Price,Car_Age,Brand,Model
Maruti Wagon R LXI CNG,Mumbai,2010,72000,CNG,Manual,First,26.6 km/kg,998.0,58.16,5.0,0,1.75,14,Maruti,Wagon
Hyundai Creta 1.6 CRDi SX Option,Pune,2015,41000,Diesel,Manual,First,19.67 kmpl,1582.0,126.2,5.0,0,12.5,9,Hyundai,Creta
Honda Jazz V,Chennai,2011,46000,Petrol,Manual,First,18.2 kmpl,1199.0,88.7,5.0,8.61 Lakh,4.5,13,Honda,Jazz
Maruti Ertiga VDI,Chennai,2012,87000,Diesel,Manual,First,20.77 kmpl,1248.0,88.76,7.0,0,6.0,12,Maruti,Ertiga
Audi A4 New 2.0 TDI Multitronic,Coimbatore,2013,40670,Diesel,Automatic,Second,15.2 kmpl,1968.0,140.8,5.0,0,17.74,11,Audi,A4
Hyundai EON LPG Era Plus Option,Hyderabad,2012,75000,LPG,Manual,First,21.1 km/kg,814.0,55.2,5.0,0,2.35,12,Hyundai,EON
Nissan Micra Diesel XV,Jaipur,2013,86999,Diesel,Manual,First,23.08 kmpl,1461.0,63.1,5.0,0,3.5,11,Nissan,Micra
Toyota Innova Crysta 2.8 GX AT 8S,Mumbai,2016,36000,Diesel,Automatic,First,11.36 kmpl,2755.0,171.5,8.0,21 Lakh,17.5,8,Toyota,Innova
Volkswagen Vento Diesel Comfortline,Pune,2013,64430,Diesel,Manual,First,20.54 kmpl,1598.0,103.6,5.0,0,5.2,11,Volkswagen,Vento
Tata Indica Vista Quadrajet LS,Chennai,2012,65932,Diesel,Manual,Second,22.3 kmpl,1248.0,74.0,5.0,0,1.95,12,Tata,Indica
Maruti Ciaz Zeta,Kochi,2018,25692,Petrol,Manual,First,21.56 kmpl,1462.0,103.25,5.0,10.65 Lakh,9.95,6,Maruti,Ciaz
Honda City 1.5 V AT Sunroof,Kolkata,2012,60000,Petrol,Automatic,First,16.8 kmpl,1497.0,116.3,5.0,0,4.49,12,Honda,City
Maruti Swift VDI BSIV,Jaipur,2015,64424,Diesel,Manual,First,25.2 kmpl,1248.0,74.0,5.0,0,5.6,9,Maruti,Swift
Land Rover Range Rover 2.2L Pure,Delhi,2014,72000,Diesel,Automatic,First,12.7 kmpl,2179.0,187.7,5.0,0,27.0,10,Land,Rover
Land Rover Freelander 2 TD4 SE,Pune,2012,85000,Diesel,Automatic,Second,0.0 kmpl,2179.0,115.0,5.0,0,17.5,12,Land,Rover
Mitsubishi Pajero Sport 4X4,Delhi,2014,110000,Diesel,Manual,First,13.5 kmpl,2477.0,175.56,7.0,32.01 Lakh,15.0,10,Mitsubishi,Pajero
Honda Amaze S i-Dtech,Kochi,2016,58950,Diesel,Manual,First,25.8 kmpl,1498.0,98.6,5.0,0,5.4,8,Honda,Amaze
Maruti Swift DDiS VDI,Jaipur,2017,25000,Diesel,Manual,First,28.4 kmpl,1248.0,74.0,5.0,0,5.99,7,Maruti,Swift
Renault Duster 85PS Diesel RxL Plus,Kochi,2014,77469,Diesel,Manual,First,20.45 kmpl,1461.0,83.8,5.0,0,6.34,10,Renault,Duster
